Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-08-25 05:13:29,Human,Hunter,Female,Saldaea,16,14,12,15,13
2013-08-25 05:11:25,Human,Hunter,Female,Saldaea,16,14,12,14,17
2013-08-25 05:09:00,Human,Hunter,Female,Saldaea,16,14,15,15,14
2013-08-25 05:05:03,Human,Hunter,Female,Saldaea,18,12,13,17,14
2013-08-25 05:02:38,Human,Hunter,Female,Saldaea,17,15,10,13,16
2013-08-25 05:00:19,Human,Hunter,Female,Saldaea,16,11,12,16,15
2013-08-25 04:56:11,Human,Hunter,Female,Saldaea,16,9,12,16,17
2013-08-25 04:53:49,Human,Hunter,Female,Saldaea,16,12,15,13,14
2013-08-25 04:51:55,Human,Hunter,Female,Saldaea,17,12,12,16,15
2013-08-25 04:48:08,Human,Hunter,Female,Saldaea,16,12,12,16,16
2013-08-25 04:45:55,Human,Hunter,Female,Saldaea,15,12,12,15,18
2013-08-25 04:43:57,Human,Hunter,Female,Saldaea,15,12,13,18,15
2013-08-25 04:41:34,Human,Hunter,Female,Saldaea,17,12,12,15,18
2013-08-25 04:37:57,Human,Hunter,Female,Saldaea,17,12,13,16,15
2013-08-25 04:35:15,Human,Hunter,Female,Saldaea,18,12,10,15,15
2013-08-25 04:33:04,Human,Hunter,Female,Saldaea,16,11,10,19,15
2013-08-25 04:30:39,Human,Hunter,Female,Saldaea,14,10,14,17,15
2013-08-25 04:28:04,Human,Hunter,Female,Saldaea,13,15,12,14,17
2013-08-25 04:25:48,Human,Hunter,Female,Saldaea,15,12,12,15,18
2013-08-25 04:23:49,Human,Hunter,Female,Saldaea,18,13,12,17,17
2013-08-25 04:21:23,Human,Hunter,Female,Saldaea,18,12,12,17,15
2013-08-25 04:18:42,Human,Hunter,Female,Saldaea,15,12,13,15,15
2013-08-25 04:16:28,Human,Hunter,Female,Saldaea,19,12,14,16,16
