Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-09-19 18:58:15,Human,Channeler,Male,Saldaea,14,15,17,16,12
2013-09-19 18:58:15,Human,Channeler,Male,Saldaea,16,16,15,13,10
2013-09-19 18:58:15,Human,Channeler,Male,Saldaea,14,14,15,14,16
2013-09-19 18:58:14,Human,Channeler,Male,Saldaea,15,16,15,15,13
2013-09-19 18:58:14,Human,Channeler,Male,Saldaea,15,17,17,13,12
2013-09-19 18:58:13,Human,Channeler,Male,Saldaea,15,15,15,14,12
2013-09-19 18:58:13,Human,Channeler,Male,Saldaea,15,15,15,13,13
2013-09-19 18:58:12,Human,Channeler,Male,Saldaea,12,15,15,16,12
2013-09-19 18:58:12,Human,Channeler,Male,Saldaea,15,15,15,13,15
2013-09-19 18:58:11,Human,Channeler,Male,Saldaea,14,17,17,13,13
2013-09-19 18:58:10,Human,Channeler,Male,Saldaea,14,15,13,17,12
2013-09-19 18:58:10,Human,Channeler,Male,Saldaea,14,17,15,15,13
2013-09-19 18:58:09,Human,Channeler,Male,Saldaea,16,15,12,15,12
2013-09-19 18:58:09,Human,Channeler,Male,Saldaea,14,16,15,15,16
2013-09-19 18:58:08,Human,Channeler,Male,Saldaea,14,16,16,13,12
2013-09-19 18:58:07,Human,Channeler,Male,Saldaea,14,18,18,13,13
2013-09-19 18:58:07,Human,Channeler,Male,Saldaea,17,15,18,15,12
2013-09-19 18:58:06,Human,Channeler,Male,Saldaea,12,15,17,12,14
2013-09-19 18:58:06,Human,Channeler,Male,Saldaea,14,17,15,13,14
2013-09-19 18:58:06,Human,Channeler,Male,Saldaea,16,15,14,12,13
2013-09-19 18:58:05,Human,Channeler,Male,Saldaea,14,18,14,12,14
2013-09-19 18:58:05,Human,Channeler,Male,Saldaea,14,15,18,13,12
2013-09-19 18:58:04,Human,Channeler,Male,Saldaea,14,16,15,11,14
2013-09-19 18:58:04,Human,Channeler,Male,Saldaea,14,17,15,12,14
2013-09-19 18:58:03,Human,Channeler,Male,Saldaea,15,16,13,13,15
2013-09-19 18:58:02,Human,Channeler,Male,Saldaea,16,15,15,16,13
2013-09-19 18:58:02,Human,Channeler,Male,Saldaea,13,13,17,13,15
2013-09-19 18:58:01,Human,Channeler,Male,Saldaea,17,15,17,13,11
2013-09-19 18:58:01,Human,Channeler,Male,Saldaea,16,17,14,14,12
2013-09-19 18:58:00,Human,Channeler,Male,Saldaea,16,15,15,14,12
2013-09-19 18:57:59,Human,Channeler,Male,Saldaea,14,14,15,16,12
2013-09-19 18:57:58,Human,Channeler,Male,Saldaea,16,15,15,15,12
2013-09-19 18:57:58,Human,Channeler,Male,Saldaea,14,18,19,13,9
2013-09-19 18:57:58,Human,Channeler,Male,Saldaea,16,15,17,13,12
2013-09-19 18:57:56,Human,Channeler,Male,Saldaea,14,16,15,13,14
2013-09-19 18:57:56,Human,Channeler,Male,Saldaea,16,15,17,14,14
2013-09-19 18:57:55,Human,Channeler,Male,Saldaea,14,13,17,15,12
2013-09-19 18:57:54,Human,Channeler,Male,Saldaea,15,16,16,13,14
2013-09-19 18:57:53,Human,Channeler,Male,Saldaea,16,16,12,13,13
2013-09-19 18:57:53,Human,Channeler,Male,Saldaea,13,15,15,17,12
2013-09-19 18:57:52,Human,Channeler,Male,Saldaea,13,15,15,15,12
2013-09-19 18:57:52,Human,Channeler,Male,Saldaea,13,18,15,13,12
2013-09-19 18:57:52,Human,Channeler,Male,Saldaea,14,15,16,16,12
2013-09-19 18:57:51,Human,Channeler,Male,Saldaea,11,16,18,13,13
2013-09-19 18:57:50,Human,Channeler,Male,Saldaea,14,18,17,15,13
2013-09-19 18:57:50,Human,Channeler,Male,Saldaea,14,15,15,11,16
2013-09-19 18:57:48,Human,Channeler,Male,Saldaea,16,15,15,15,14
2013-09-19 18:57:48,Human,Channeler,Male,Saldaea,16,14,15,14,12
2013-09-19 18:57:48,Human,Channeler,Male,Saldaea,15,15,13,15,12
2013-09-19 18:57:46,Human,Channeler,Male,Saldaea,12,16,17,13,12
2013-09-19 18:57:46,Human,Channeler,Male,Saldaea,16,17,15,12,12
2013-09-19 18:57:45,Human,Channeler,Male,Saldaea,14,18,16,13,15
2013-09-19 18:57:45,Human,Channeler,Male,Saldaea,12,17,16,15,13
2013-09-19 18:57:44,Human,Channeler,Male,Saldaea,17,16,17,13,12
2013-09-19 18:57:44,Human,Channeler,Male,Saldaea,12,16,17,13,12
2013-09-19 18:57:43,Human,Channeler,Male,Saldaea,15,17,13,13,12
2013-09-19 18:57:42,Human,Channeler,Male,Saldaea,15,15,14,15,15
2013-09-19 18:57:42,Human,Channeler,Male,Saldaea,14,15,15,15,14
2013-09-19 18:57:42,Human,Channeler,Male,Saldaea,16,18,15,12,12
2013-09-19 18:57:41,Human,Channeler,Male,Saldaea,14,15,17,13,12
2013-09-19 18:57:41,Human,Channeler,Male,Saldaea,14,15,15,14,14
2013-09-19 18:57:40,Human,Channeler,Male,Saldaea,14,15,15,16,12
2013-09-19 18:57:40,Human,Channeler,Male,Saldaea,14,15,16,16,12
2013-09-19 18:57:39,Human,Channeler,Male,Saldaea,15,16,16,13,12
2013-09-19 18:57:39,Human,Channeler,Male,Saldaea,16,19,12,13,14
2013-09-19 18:57:38,Human,Channeler,Male,Saldaea,13,17,16,15,14
2013-09-19 18:57:37,Human,Channeler,Male,Saldaea,14,17,15,12,12
2013-09-19 18:57:37,Human,Channeler,Male,Saldaea,12,14,17,14,15
2013-09-19 18:57:37,Human,Channeler,Male,Saldaea,14,15,18,13,12
2013-09-19 18:57:36,Human,Channeler,Male,Saldaea,16,13,17,15,12
