Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-09-19 18:03:41,Human,Channeler,Female,Murandy,13,18,15,17,10
2013-09-19 18:03:40,Human,Channeler,Female,Murandy,12,16,19,15,10
2013-09-19 18:03:40,Human,Channeler,Female,Murandy,12,16,17,13,12
2013-09-19 18:03:39,Human,Channeler,Female,Murandy,15,14,18,15,12
2013-09-19 18:03:39,Human,Channeler,Female,Murandy,16,16,19,16,10
2013-09-19 18:03:38,Human,Channeler,Female,Murandy,12,17,14,14,13
2013-09-19 18:03:38,Human,Channeler,Female,Murandy,12,17,18,14,10
2013-09-19 18:03:37,Human,Channeler,Female,Murandy,15,14,18,14,10
2013-09-19 18:03:37,Human,Channeler,Female,Murandy,12,14,17,18,9
2013-09-19 18:03:37,Human,Channeler,Female,Murandy,16,13,15,17,10
2013-09-19 18:03:36,Human,Channeler,Female,Murandy,12,14,18,15,13
2013-09-19 18:03:36,Human,Channeler,Female,Murandy,11,14,15,18,14
2013-09-19 18:03:35,Human,Channeler,Female,Murandy,14,17,14,14,14
2013-09-19 18:03:35,Human,Channeler,Female,Murandy,14,18,19,14,12
2013-09-19 18:03:34,Human,Channeler,Female,Murandy,14,14,14,18,10
2013-09-19 18:03:34,Human,Channeler,Female,Murandy,15,18,15,17,10
2013-09-19 18:03:33,Human,Channeler,Female,Murandy,12,15,17,14,12
2013-09-19 18:03:33,Human,Channeler,Female,Murandy,16,14,15,15,10
2013-09-19 18:03:32,Human,Channeler,Female,Murandy,16,14,17,14,9
2013-09-19 18:03:32,Human,Channeler,Female,Murandy,16,16,15,13,12
2013-09-19 18:03:32,Human,Channeler,Female,Murandy,13,14,15,17,11
2013-09-19 18:03:31,Human,Channeler,Female,Murandy,12,14,17,13,14
2013-09-19 18:03:30,Human,Channeler,Female,Murandy,15,14,15,18,10
2013-09-19 18:03:30,Human,Channeler,Female,Murandy,12,18,17,17,13
2013-09-19 18:03:30,Human,Channeler,Female,Murandy,11,18,19,14,9
2013-09-19 18:03:29,Human,Channeler,Female,Murandy,15,17,16,18,9
2013-09-19 18:03:29,Human,Channeler,Female,Murandy,16,16,19,14,14
2013-09-19 18:03:28,Human,Channeler,Female,Murandy,16,14,18,14,10
2013-09-19 18:03:28,Human,Channeler,Female,Murandy,12,18,14,16,12
2013-09-19 18:03:27,Human,Channeler,Female,Murandy,11,18,15,18,10
2013-09-19 18:03:26,Human,Channeler,Female,Murandy,14,15,18,14,11
2013-09-19 18:03:26,Human,Channeler,Female,Murandy,12,15,19,15,10
2013-09-19 18:03:26,Human,Channeler,Female,Murandy,13,18,16,14,10
2013-09-19 18:03:25,Human,Channeler,Female,Murandy,15,14,18,14,10
2013-09-19 18:03:24,Human,Channeler,Female,Murandy,12,17,15,15,13
2013-09-19 18:03:24,Human,Channeler,Female,Murandy,15,15,15,18,10
2013-09-19 18:03:24,Human,Channeler,Female,Murandy,14,14,16,18,10
2013-09-19 18:03:23,Human,Channeler,Female,Murandy,12,14,19,17,9
2013-09-19 18:03:23,Human,Channeler,Female,Murandy,14,14,18,17,14
2013-09-19 18:03:22,Human,Channeler,Female,Murandy,16,15,17,14,10
2013-09-19 18:03:22,Human,Channeler,Female,Murandy,12,16,15,18,10
2013-09-19 18:03:21,Human,Channeler,Female,Murandy,16,16,18,13,10
2013-09-19 18:03:21,Human,Channeler,Female,Murandy,12,18,15,14,11
2013-09-19 18:03:21,Human,Channeler,Female,Murandy,12,15,15,14,14
2013-09-19 18:03:20,Human,Channeler,Female,Murandy,15,18,17,17,9
2013-09-19 18:03:20,Human,Channeler,Female,Murandy,13,13,19,14,14
2013-09-19 18:03:19,Human,Channeler,Female,Murandy,14,17,17,13,10
2013-09-19 18:03:19,Human,Channeler,Female,Murandy,12,14,15,18,12
2013-09-19 18:03:18,Human,Channeler,Female,Murandy,12,14,18,14,14
2013-09-19 18:03:18,Human,Channeler,Female,Murandy,13,18,15,14,14
2013-09-19 18:03:17,Human,Channeler,Female,Murandy,14,13,15,17,13
2013-09-19 18:03:16,Human,Channeler,Female,Murandy,13,14,19,14,14
2013-09-19 18:03:16,Human,Channeler,Female,Murandy,12,16,18,16,10
2013-09-19 18:03:16,Human,Channeler,Female,Murandy,15,16,15,14,11
2013-09-19 18:03:15,Human,Channeler,Female,Murandy,12,14,19,14,11
